ほし,星,Hoshi
みこ,御子,Miko
うまれ,生まれ,Umare
はかせ,博士,Hakase
ひつじかい,羊飼い,Hitsujikai
おうごん,黄金,Ougon
にゅうこう,乳香,Nyuukou
もつやく,没薬,Motsuyaku
てんし,天使,Tenshi
まりあ,マリア,Maria
かいばおけ,飼い葉桶,Kaibaoke
べつれへむ,ベツレヘム,Betsurehemu
ぐろりあ,グロリア,Guroria
,ちち,Chichi
,せいなる,Seinaru
はれるや,ハレルヤ,Hareruya
,きよし,Kiyoshi
,まきびと,Makibito
,ひつじ,Hitsuji
,もろびと,Morobito
,よろこび,Yorokobi
,たたえよ,Tataeyo
しゅは,主は,Shuha
このよの,この世の,Konoyoha
ひかり,光,Hikari
,きませり,Kimaseri
へいわ,平和,Heiwa
,すくいぬし,Sukuinushi
,いざ,Iza
,まぶね,Mabune
ほさな,ホサナ,Hosana
だびで,ダビデ,Dabide
みつかい,み使い,Mitsukai
,こころ,Kokoro
つみ,罪,Tsumi
,いのり,Inori
,ああ,Aa
,いのち,Inochi
,あめの,Ameno
あかぼし,明星,Akaboshi
,ゆりかご,Yurikago
,さかえ,Sakae
ひさしく,久しく,Hisashiku
めぐみ,恵み,Megumi
やみじ,闇路,Yamiji
おがまずや,拝まずや,Ogamazuya
われら,我ら,Warera
メシア,めしあ,Meshia
,いと,Ito
よい,宵,Yoi